mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	C.I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	2.0	0	0	4/4	2	1	IV64	C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
2	2	6	0.5	1/2	1/2	4/4	2	1	I(64)	C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
2	2	13/2	1.5	5/8	5/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
3	3	8	2.0	0	0	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	10	0.5	1/2	1/2	4/4	2	1	I(94)}	C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
3	3	21/2	1.0	5/8	5/8	4/4	2	1	I|IAC	C	I		I		I					IAC		M	0	0	0, 4, 1		0	0
3	3	23/2	0.5	7/8	7/8	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	0.5	0	0	4/4	2	1	I(94){	C	I		I(94)		I			94			{	M	0	0	0, -1, 1	2	0	0
4	4	25/2	3.5	1/8	1/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	16	2.0	0	0	4/4	2	1	IV64	C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
5	5	18	0.5	1/2	1/2	4/4	2	1	I(64)	C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
5	5	37/2	1.5	5/8	5/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	20	2.0	0	0	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	0.5	1/2	1/2	4/4	2	1	I(94)}	C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
6	6	45/2	1.0	5/8	5/8	4/4	2	1	I|IAC	C	I		I		I					IAC		M	0	0	0, 4, 1		0	0
6	6	47/2	0.5	7/8	7/8	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	2.0	0	0	4/4	2	1	I|IAC{	C	I		I		I					IAC	{	M	0	0	0, 4, 1		0	0
